Source,Source_N,Source_Mean,Source_SD,Target,Target_N,Target_Mean,Target_SD
EN,13314.0,233.01,140.5,DE,13314.0,264.29,156.67
EN,14274.0,230.24,140.65,HU,14274.0,253.45,151.42
EN,13878.0,231.93,140.41,IT,13878.0,262.54,153.23
EN,12976.0,234.69,147.38,FI,12976.0,249.91,158.73
EN,13175.0,231.69,141.07,NL,13175.0,261.87,159.2
EN,14209.0,230.14,140.22,PT,14209.0,259.79,155.44
EN,11463.0,228.46,140.77,MT,11463.0,242.45,146.52
EN,10637.0,229.0,141.59,BG,10637.0,250.55,150.73
EN,12966.0,233.15,145.23,DA,12966.0,237.65,145.93
EN,626.0,245.43,157.09,GA,626.0,272.01,171.67
EN,10247.0,228.85,139.51,RO,10247.0,261.73,154.98
EN,14639.0,231.32,139.45,FR,14639.0,267.18,159.54
EN,13422.0,233.75,145.58,SV,13422.0,234.8,145.14
EN,13347.0,231.89,140.21,ES,13347.0,268.39,159.07
EN,14253.0,231.17,141.9,PL,14253.0,251.41,152.69
EN,13276.0,229.37,141.72,EL,13276.0,265.53,162.43
EN,14241.0,229.76,141.8,ET,14241.0,217.04,137.27
EN,14649.0,228.6,141.65,SK,14649.0,225.63,139.21
EN,14110.0,231.1,142.59,SL,14110.0,216.83,131.67
EN,14041.0,231.51,142.44,LT,14041.0,222.05,137.9
EN,3782.0,224.57,145.51,HR,3782.0,218.1,139.76
EN,13721.0,231.88,143.14,CS,13721.0,221.16,136.73
EN,14163.0,231.34,141.19,LV,14163.0,220.59,136.44
